"NAME","QUANTITY"
"CVS 44-585","103"
"Thiothixene","195"
"Calcium Carbonate","180"
"metformin hydrochloride","71"
"nadolol","4"
"Epstein-barr virus","168"
"PYRITHIONE ZINC","128"
"Perphenazine","151"
"trout","150"
"Tapentadol","40"
"Pyrithione zinc","98"
"ONDANSETRON HYDROCHLORIDE","83"
"Hog Epithelium","19"
"Mucor racemosus immunoserum rabbit","81"
"Paprika","194"
"DIPYRIDAMOLE","97"
"telmisartan","93"
"Ampicillin Trihydrate","36"
"Ketorolac Tromethamine","33"
"buprenorphine hydrochloride","69"
"HYDROCORTISONE SODIUM SUCCINATE","148"
"Ultramicrosize Griseofulvin Tablets","163"
"OCTINOXATE and TITANIUM DIOXIDE","123"
"CALCIUM SULFATE","28"
"MATRICARIA RECUTITA","152"
"Beet","60"
"RANOLAZINE","90"
"lamotrigine","173"
"Clarithromycin","90"
"Aconitum Belladonna","185"
"Arnica Stannum","144"
"buspirone hydrochloride","55"
"glipizide","113"
"Padimate O, Petrolatum","76"
"Voriconazole","105"
"Lidocaine Hydrochloride","163"
"Pear","124"
"Levofloxacin","24"
"oxymetazoline hydrochloride","90"
"ketamine hydrochloride","34"
"PANTOPRAZOLE SODIUM","37"
"Trichophyton mentagrophytes","27"
"Diazepam","112"
"RISPERIDONE","171"
"Venlafaxine Hydrochloride","106"
"Tioconazole","164"
"Topiramate","82"
"Horse Fly","51"
"Aurum Crataegus","143"
"Bismuth subsalicylate","186"
"Bupropion Hydrochloride","54"
"Oxymetazoline HCl","109"
"antihemophilic factor recombinant","151"
"Soybean Glycine soja","32"
"almotriptan malate","139"
"OCTINOXATE and OXYBENZONE","179"
"belladonna, nux vomica","87"
"Temozolomide","42"
"Sulfasalazine","140"
"Minoxidil","77"
"DOXORUBICIN HYDROCHLORIDE","94"
"Penicillin G Potassium","129"
"zinc oxide and octinoxate","23"
"Magesium Citrate","199"
"temazepam","125"
"OCTREOTIDE ACETATE","38"
"Aspergillus fumigatus","158"
"MENTHOL CAMPHOR","64"
"carboxymethylcellulose sodium","124"
"galantamine hydrobromide","138"
"Treatment Set TS336683","3"
"Ribavirin","112"
"Chicken Meat Gallus sp.","189"
"OXYGEN","38"
"Fexofenadine HCl","11"
"warfarin sodium","66"
"Dimethicone, Octinoxate, and Oxybenzone","197"
"Black Oak","55"
"Bisacodyl","42"
"Captopril","199"
"fluoxetine hydrochloride","7"
"Trandolapril","78"
"pitavastatin calcium","95"
"Eucalyptol, menthol, methyl salicylate, thymol","73"
"Antihemophilic Factor, Human Recombinant","8"
"Trimipramine maleate","171"
"Salicylic acid","56"
"Chlorpromazine Hydrochloride","195"
"Allantoin, Benzethonium Chloride","29"
"Zoledronic Acid","156"
"epinephrine","13"
"losartan potassium","120"
"Vaporizing steam","140"
"Titanium dioxide","178"
"ALUMINUM CHLOROHYDRATE","38"
"MESNA","112"
"Colloidal Oatmeal","164"
"LEVOTHYROXINE SODIUM ANHYDROUS","175"
"BENZALKONIUM CHLORIDE","196"
"Amlodipine besylate","185"
"Hepatitis B Vaccine (Recombinant)","136"
"aluminum zirconium trichlorohydrex gly","196"
"ramucirumab","128"
"Aminocaproic Acid","195"
"OCTINOXATE, TITANIUM DIOXIDE, and ZINC OXIDE","21"
"Bambusa Viscum Stannum","57"
"DOCUSATE SODIUM","12"
"Albuterol Sulfate","135"
"Dextromethorphan hbr, Guaifenesin","61"
"Ofloxacin","82"
"White Pine","161"
"methohexital sodium","74"
"OCTINOXATE, TITANIUM DIOXIDE","143"
"IRIDIUM","142"
"tocilizumab","50"
"Ketotifen Fumarate","68"
"Carboxymethylcellulose Sodium","161"
"Dextromethorphan, Guiafenesin, Pseudoephedrine HCl","187"
"atorvastatin calcium","55"
"captopril","119"
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE","97"
"docusate sodium","135"
"TOPOTECAN HYDROCHLORIDE","82"
"Magnesium Sulfate","156"
"Clindamycin Hydrochloride","185"
"Tizanidine Hydrochloride","45"
"Selenium sulfide","72"
"Meropenem","107"
"Hydroquinone","188"
"mixed vespid hymenoptera venom multidose","146"
"METHYLDOPA","62"
"KETOROLAC TROMETHAMINE","48"
"ESMOLOL HYDROCHLORIDE","24"
"fexofenadine hcl","155"
"Anti-bacterial Hand Wash","177"
"Sodium Fluoride and Potassium Nitrate","88"
"pyrithione zinc","43"
"Aluminum Zirconium Tricholorohydrex GLY","100"
"ranolazine","181"
"Fluconazole","122"
"Cinchona, Cinnamomum","160"
"levocetirizine dihydrochloride","96"
"ixabepilone","165"
"Liothyronine Sodium","46"
"Benzoyl Perozide","93"
"Petrolatum","151"
"LIDOCAINE HYDROCHLORIDE and EPINEPHRINE","140"
"TITANIUM DIOXIDE","190"
"Lisinopril","84"
"Acetaminophen and Codeine","22"
"Triamterene and Hydrochlorothiazide","163"
"sirolimus","96"
"TITANIUM DIOXIDE, ZINC OXIDE","55"
"Avobenzone, Oxybenzone, Octocrylene","195"
"Octinoxate, homosalate, octisalate, octocrylene","14"
"Levetiracetam","179"
"morphine sulfate","53"
"diclofenac potassium","75"
"Metoprolol succinate","1"
"dantrolene sodium","19"
"Losartan Potassium","153"
"Phenazopyridine","85"
"TITANIUM DIOXIDE AND ZINC OXIDE","50"
"Nicotine Polacrilex","182"
"Butorphanol Tartrate","52"
"Mountain Cedar","160"
"Black Willow","56"
"Avobenzone, Octinoxate, Octisalate","65"
"Risperidone","53"
"CLOTRIMAZOLE","54"
"CEFTRIAXONE","39"
"Promethazine Hydrochloride","179"
"Naproxen","72"
"fluorometholone acetate","61"
"Bacitracin zinc and Polymyxin B sulfate","65"
"ATROPA BELLADONNA and OPIUM","186"
"Etodolac","171"
"Benzalkonium chloride","136"
"dextromethorphan hbr","143"
"DIMETHICONE","151"
"fentanyl citrate","98"
"AVOBENZONE, OCTINOXATE, OCTOCRYLENE","150"
"Cetirizine","22"
"tretinoin","105"
"Octinoxate, Octisalate, Oxybenzone","53"
"PROPRANOLOL HYDROCHLORIDE","105"
"Ondansetron Hydrochloride","129"
"Titanium Dioxide","91"
"Zinc Oxide, Titanium Dioxide","68"
"Privet","111"
"levonorgestrel and ethinyl estradiol","122"
"potassium chloride","58"
"Zonisamide","91"
"Triamcinolone Acetonide","19"
"PredniSONE","91"
"Titanium Dioxide and Zinc Oxide","91"
"VANCOMYCIN HYDROCHLORIDE","82"
"Octinoxate, Titanium Dioxide","36"
"imatinib mesylate","27"
"Prochlorperazine Maleate","126"
"ETHYL ALCOHOL","67"
"METRONIDAZOLE","120"
"METFORMIN HYDROCHLORIDE","140"
"Nitroglycerin","117"
"Niacin","177"
"Cefaclor","81"
"CAMPHOR (NATURAL), MENTHOL","37"
"Doxercalciferol","146"
"Psyllium Dietary Fiber Supplement","156"
"clonidine hydrochloride","9"
"Promethazine Hydrochloride and Codeine Phosphate","21"
"Nabumetone","84"
"TRICLOCARBAN","25"
"Omeprazole","127"
"fluocinolone acetonide","73"
"etravirine","162"
"TRICLOSAN","49"
"Valacyclovir Hydrochloride","92"
"Geotrichum candidum","135"
"BENZETHONIUM CHLORIDE","106"
"Sumatriptan Succinate","99"
"PETROSELINUM CRISPUM","23"
"Lidocaine Hydrochloride,Epinephrine Bitartrate","130"
"Alprazolam","139"
"Hydromorphone Hydrochloride","143"
"Glipizide","137"
"Metformin Hydrochloride","125"
"Ergocalciferol","195"
"phenylephrine hcl, brompheniramine maleate","177"
"NIACIN","21"
"Plum","38"
"telmisartan/amlodipine","48"
"Benzalkonium Chloride","25"
"GUAIFENESIN and PHENYLEPHRINE HYDROCHLORIDE","150"
"Polyethylene Glycol 3350","121"
"LIDOCAINE HYDROCHLORIDE","114"
"Diphenhydramine Hydrochloride","190"
"Calamine 8% and Zinc Oxide 8%","31"
"Povidone-Iodine","15"
"Insulin human","35"
"Zolmitriptan","195"
"Chloroxylenol","118"
"Ethanol","186"
